MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade
0.6785714285714285,0.36363636363636365,0.17857142857142855,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03571428571428571,0.09090909090909091,0.10714285714285714,0.07500000000000001,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.7777777777777777,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.7222222222222222
1.3214285714285714,1.1212121212121213,0.3214285714285714,0.225,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0
1.357142857142857,1.1212121212121213,0.17857142857142855,0.07500000000000001,0.0,0.23076923076923078,0.17777777777777778,0.23076923076923078,0.7222222222222222,0.0,0.2608695652173913,0.30303030303030304,0.25,0.6666666666666666
1.3214285714285714,1.1515151515151516,0.3214285714285714,0.225,0.0,0.23076923076923078,0.2,0.19230769230769232,0.6666666666666666,0.0,0.2608695652173913,0.18181818181818182,0.30000000000000004,0.7222222222222222
1.3214285714285714,1.1212121212121213,0.3214285714285714,0.17500000000000002,0.0,0.19230769230769232,0.22222222222222224,0.19230769230769232,0.611111111111111,0.0,0.21739130434782608,0.5151515151515151,0.25,0.611111111111111
0.6785714285714285,1.1515151515151516,0.25,0.25,0.0,0.2692307692307693,0.2,0.2692307692307693,0.7222222222222222,0.0,0.34782608695652173,0.24242424242424243,0.4,0.7777777777777777
1.3214285714285714,1.1212121212121213,0.3214285714285714,0.225,0.0,0.19230769230769232,0.11111111111111112,0.0,0.0,0.0,0.21739130434782608,0.15151515151515152,0.0,0.0
0.03571428571428571,0.030303030303030304,0.3214285714285714,0.225,0.0,0.23076923076923078,0.17777777777777778,0.23076923076923078,0.7222222222222222,0.0,0.2608695652173913,0.21212121212121213,0.30000000000000004,0.7777777777777777
0.03571428571428571,0.5757575757575758,0.14285714285714285,0.17500000000000002,0.0,0.23076923076923078,0.2,0.19230769230769232,0.611111111111111,0.0,0.2608695652173913,0.42424242424242425,0.1,0.7222222222222222
